"CTYNAME","Pop","GrowthRate"
"Los Angeles County",10105518,"2.8820"
"San Diego County",3343364,"7.7356"
"Orange County",3185968,"5.6160"
"Riverside County",2450758,"11.3145"
"San Bernardino County",2171603,"6.4037"
"Santa Clara County",1937570,"8.4818"
"Alameda County",1666753,"10.1590"
"Sacramento County",1540975,"8.4114"
"Contra Costa County",1150215,"9.2780"
"Fresno County",994400,"6.6881"
"Kern County",896764,"6.6215"
"San Francisco County",883305,"9.6524"
"Ventura County",850967,"3.1313"
"San Mateo County",769545,"6.9221"
"San Joaquin County",752660,"9.5326"
"Stanislaus County",549815,"6.7260"
"Sonoma County",499942,"3.1285"
"Tulare County",465861,"5.1619"
"Solano County",446610,"7.8914"
"Santa Barbara County",446527,"5.2546"
"Monterey County",435594,"4.6105"
"Placer County",393149,"12.3199"
"San Luis Obispo County",284010,"5.2649"
"Merced County",274765,"7.0241"
"Santa Cruz County",274255,"4.2133"
"Marin County",259666,"2.6733"
"Butte County",231256,"5.1426"
"Yolo County",220408,"9.6105"
"El Dorado County",190678,"5.2696"
"Imperial County",181827,"4.0617"
"Shasta County",180040,"1.5586"
"Madera County",157672,"4.4144"
"Kings County",151366,"-0.6661"
"Napa County",139417,"1.9071"
"Humboldt County",136373,"1.0170"
"Nevada County",99696,"0.9222"
"Sutter County",96807,"2.1677"
"Mendocino County",87606,"-0.2210"
"Yuba County",78041,"7.8659"
"Lake County",64382,"-0.5453"
"Tehama County",63916,"0.5522"
"San Benito County",61537,"10.8435"
"Tuolumne County",54539,"-1.1814"
"Calaveras County",45602,"0.2947"
"Siskiyou County",43724,"-2.7015"
"Amador County",39383,"3.9568"
"Lassen County",30802,"-11.5698"
"Glenn County",28047,"-0.2809"
"Del Norte County",27828,"-2.5903"
"Colusa County",21627,"0.8863"
"Plumas County",18804,"-5.5740"
"Inyo County",17987,"-2.8360"
"Mariposa County",17471,"-4.4099"
"Mono County",14250,"-0.0491"
"Trinity County",12535,"-8.8629"
"Modoc County",8777,"-9.5061"
"Sierra County",2987,"-7.2648"
"Alpine County",1101,"-5.1680"
