Battery,Biomass,Coal,Digester Gas,Gas,Geothermal,Hydro,Landfill Gas,MSW,Nuclear,Solar,Solar Thermal,Wind,Total
1.4,0.0,0.0,11.05,3675.9249999999997,0.0,1.25,13.94,0.0,0.0,18.803,0.0,786.33,4508.697999999999
0.0,0.0,0.0,0.0,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15
0.0,40.5,18.4,0.0,92.5,0.0,243.055,0.0,0.0,0.0,1.5,0.0,0.0,395.955
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.5,203.5
0.0,14.88,0.0,5.0,8.4,0.0,1105.7330000000002,0.0,0.085,0.0,7.45,0.0,0.0,1141.5480000000005
0.0,0.0,0.0,0.0,0.0,0.0,816.004,0.0,0.0,0.0,1.8,0.0,0.0,817.804
0.0,0.0,0.0,0.0,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5
0.0,0.0,818.1,0.0,536.0,0.0,0.0,0.0,0.0,0.0,751.1,0.0,0.0,2105.2
0.0,29.0,0.0,0.0,692.0,0.0,0.393,0.0,0.0,0.0,0.0,0.0,0.0,721.393
0.0,0.0,95.0,0.0,5829.353999999999,0.0,0.8420000000000001,8.84,0.0,0.0,42.51,0.0,334.3,6310.846
0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,905.3199999999999,0.0,0.0,0.0,0.0,0.0,0.0,905.3199999999999
0.0,85.6,0.0,0.0,2867.43,0.0,2644.77,0.0,1.3,0.0,1005.7600000000001,0.0,0.0,6604.860000000001
0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,1.5,0.0,0.0,7.01
0.0,109.3,0.0,0.0,168.08,0.0,1.53,0.0,0.0,65.28,0.0,0.0,0.0,344.19000000000005
29.7,35.9,0.0,0.0,643.68,930.8399999999999,97.68,0.525,0.0,0.0,1664.2071949999997,0.0,265.44,3667.972195
0.0,0.0,0.0,0.0,0.0,302.41,83.29,0.0,0.0,0.0,500.0,0.0,0.0,885.7
8.0,68.0,129.6,50.6,7349.740000000002,0.0,127.82700000000001,0.0,0.0,0.0,2962.9800000000005,5.0,3851.6199999999994,14553.367000000002
0.0,0.0,24.0,0.0,820.335,0.0,0.0,0.0,0.0,0.0,482.49,0.0,0.0,1326.825
0.0,0.0,0.0,0.0,0.0,536.8,5.51,0.0,0.0,0.0,5.2,0.0,0.0,547.51
0.0,68.55,0.0,0.0,8.5,5.35,29.9,0.0,0.0,0.0,0.0,0.0,0.0,112.3
22.53,80.0,35.8,53.76,15492.928999999998,0.0,1626.126,149.04000000000002,46.465,0.0,1507.291,7.5,151.89399999999998,19173.335
0.0,56.0,0.0,0.0,48.33,0.0,321.95000000000005,0.0,0.0,0.0,25.0,0.0,0.0,451.28000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,611.0
0.0,0.0,0.0,0.0,0.11599999999999999,0.0,0.0,3.92,0.0,0.0,13.0,0.0,0.0,17.036
0.0,0.0,0.0,0.0,0.0,0.0,103.5,0.0,0.0,0.0,0.0,0.0,0.0,103.5
0.0,15.0,0.0,0.0,0.0,0.0,14.040000000000001,0.0,0.0,0.0,7.013,0.0,0.0,36.053
0.0,13.0,0.0,0.0,91.45,0.0,465.375,0.0,0.0,0.0,139.0,0.0,18.65,727.475
