Plant Type Code,RPS Eligible,Primary Fuel Type,Solar Thermal,Small Hydro,CEC Plant ID,EIA Plant ID,Plant Name,Unit,State,County,City,Start Date,Retire Date,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
C,FALSE,Coal,FALSE,FALSE,C0001,10002,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),GEN 1,CA,San Bernardino,Trona,12/01/1990,10/01/2014,,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 ,  108.0 
C,FALSE,Coal,FALSE,FALSE,C0002,10601,Los Angeles Refinery - Calciner,UNIT 1,CA,Los Angeles,Wilmington,12/01/1982,,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 ,  35.8 
C,FALSE,Coal,FALSE,FALSE,C0004,54238,Port of Stockton District Energy Facility - Retired Jan 2011,GEN 1,CA,San Joaquin,Stockton,12/01/1989,01/01/2011,,,,,  49.9 ,  49.9 ,  49.9 ,  49.9 ,  49.9 ,  49.9 ,  49.9 ,  49.9 ,  49.9 ,  49.9 
C,FALSE,Coal,FALSE,FALSE,C0005,56446,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,1,CA,Amador,Ione,06/01/1986,12/31/2012,,,,  18.4 ,  18.4 ,  18.4 ,  18.4 ,  18.4 ,  18.4 ,  18.4 ,  18.4 ,  18.4 ,  18.4 ,  18.4 
C,FALSE,Coal,FALSE,FALSE,C0007,10373,Hanford - Retired October 2011,GEN 1,CA,Kings,Hanford,09/01/1990,10/18/2011,,,,,  24.0 ,  24.0 ,  24.0 ,  24.0 ,  24.0 ,  24.0 ,  24.0 ,  24.0 ,  24.0 ,  24.0 
C,FALSE,Coal,FALSE,FALSE,C0008,10367,East Third Street Power Plant - Retired April 2012,GEN 1,CA,Contra Costa,Pittsburg,12/01/1990,04/26/2012,,,,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 
C,FALSE,Coal,FALSE,FALSE,C0009,10368,Loveridge Road Power Plant - Retired April 2012,GEN 1,CA,Contra Costa,Pittsburg,12/01/1989,04/26/2012,,,,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 
C,FALSE,Coal,FALSE,FALSE,C0010,10370,Wilbur East Power Plant - Retired April 2012,GEN 1,CA,Contra Costa,Antioch,10/01/1989,04/26/2012,,,,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 
C,FALSE,Coal,FALSE,FALSE,C0011,10369,Wilbur West Power Plant - Retired April 2012,GEN 1,CA,Contra Costa,Antioch,08/01/1990,04/26/2012,,,,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 
C,FALSE,Coal,FALSE,FALSE,C0012,10371,Nichols Road Power Plant - Retired April 2012,GEN 1,CA,Contra Costa,Bay Point,03/01/1990,04/26/2012,,,,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 ,  19.0 
