OBJECTID_12_13,Plant_ID,Plant_Alias,Plant_Label,MW,Gross_MWh,Net_MWh,General_Fuel,Status,STEP_License_Status,Gen_Count,Initial_Start_Date,Online_Year,Retire_Date,Docket_ID,CEC_Sited_Flag,STEP_Project_Type,REAT_ID,WREGIS_ID,County,State_,Peaker,Renewable_Energy,CEC_Jurisdictional_Plant,CEC_Data_Source,Wind_Resource,LRA,Sub_Area,Service_Area,Service_Category,Caliso_Balancing_Authorities,Air_District,Air_Basin,Quad,Senate_District,Assembly_District,Congressional_District,CES30_PercentileRange,CES30_Percentile,Website,CEC_Link,Aerial,C_Comments,Longitude,Latitude,Elevation,Operation_Job,Property_Tax,Capacity_Factor,Income_Percent,Project_Location,Creator,Creator_Date,Last_Editor,Last_Editor_Date,GlobalID
1,W0464,,El Cabo,298.2,,,Wind,Operating,,,,,,,N,,,,Torrance,NM,,1.0,0.0,QFER,,,,,,,,,,,,,,,,,"<a href="""">Google Earth</a>",,-105.46167026,34.65111203,,,,,,,cecgis,1581101982706,cecgis,1581101982706,0da84d14-5867-4396-8004-5ce07b6d6dd9
674,W0359,Kumeyaay; Kumeyaay Wind; Kumeyaay Wind Energy Facility; Kumeyaay Wind Power Project,Kumeyaay,50.0,155200.97,155201.0,Wind,Operating,,1.0,1135123200000.0,2005.0,,,N,,G-13,W138,San Diego,CA,0.0,1.0,0.0,WPRS,East San Diego,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Live Oak Springs,Senate District 40,Assembly District 71,Congressional District 51,55-60%,55.0,,,"<a href="""">Google Earth</a>",,-116.34524925,32.73237566,1391.70043497,,,0.35337204,66.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,d4ee4d2f-7253-4169-805b-6f41da49f232
675,W0390,,Golden Acorn Casino,1.0,4113.98,4114.0,Wind,Operating,,1.0,1303344000000.0,2011.0,,,N,,G-13,W4265,San Diego,CA,0.0,1.0,0.0,WPRS,East San Diego,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Live Oak Springs,Senate District 40,Assembly District 71,Congressional District 51,55-60%,55.0,,,"<a href="""">Google Earth</a>",,-116.35136795,32.70141212,1264.90648686,,,0.46835155,66.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,f0db0dca-a275-4cbc-a2b9-b066daec8060
761,W0369,Hatchet Ridge Wind Project; Hatchet Ridge Wind Farm; Hatchet Ridge; Hatchet Ridge Wind Farm,Hatchet Ridge,101.2,258503.0,258503.0,Wind,Operating,,1.0,1290124800000.0,2010.0,,,N,,C-3,W1600,Shasta,CA,0.0,1.0,0.0,WPRS,,,,Pacific Gas & Electric Company,IOU,CALISO,Shasta County Air Quality Management District,Sacramento Valley,Chalk Mountain,Senate District 1,Assembly District 1,Congressional District 1,50-55%,51.0,,,"<a href="""">Google Earth</a>",,-121.81377197,40.90904039,1675.0048348,,,0.29079889,61.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,af1e3d9c-5fdf-4fe0-8ad5-b12537891e19
923,W0355,High Winds LLC; High Winds Energy Center; High Winds Project,High Winds,162.0,345306.0,345306.0,Wind,Operating,,1.0,1072137600000.0,2003.0,,,N,,C-7,W229,Solano,CA,0.0,1.0,0.0,WPRS,Solano,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Birds Landing,Senate District 3,Assembly District 11,Congressional District 3,70-75%,74.0,,,"<a href="""">Google Earth</a>",,-121.81085413,38.14036856,87.34259085,,,0.24265921,97.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,a32f67fd-1498-4bfa-b8d8-73b94fdb0bbf
924,W0356,SMUD Solano Phase 1; Solano Wind Plant III; Solano Wind Phase 3; Solano 3 Wind Project; Solano Wind 1; Montezuma Hills - SMUD; Solano Wind Phase 1 (SMUD),Solano 3,127.8,353149.55,353150.0,Wind,Operating,,1.0,1334707200000.0,2012.0,,,N,,C-7,W2756,Solano,CA,0.0,1.0,0.0,WPRS,Solano,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Birds Landing,Senate District 3,Assembly District 11,Congressional District 3,70-75%,74.0,,,"<a href="""">Google Earth</a>",,-121.76722815,38.12649688,59.63309774,,,0.31458356,97.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,25ed9e61-b7ef-4b08-a1c1-1809a8567e70
925,W0371,Montezuma Wind Energy Center,FPL - Montezuma ,36.8,100413.0,100413.0,Wind,Operating,,1.0,1295913600000.0,2011.0,,,N,,C-7,W1745,Solano,CA,0.0,1.0,0.0,WPRS,Solano,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Birds Landing,Senate District 3,Assembly District 11,Congressional District 3,70-75%,74.0,,,"<a href="""">Google Earth</a>",,-121.80061759,38.16626671,62.00309246,,,0.31063458,97.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,e8a3715f-af4f-4443-bd77-6c498013c39b
926,W0381,Enxco V Bis; Enxco V Repower,Enxco V,9.0,,,Wind,Operating,,,,,,,N,,C-7,,Solano,CA,,1.0,0.0,QFER,Solano,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Birds Landing,Senate District 3,Assembly District 11,Congressional District 3,70-75%,74.0,,,"<a href="""">Google Earth</a>",Location unsure,-121.83342169,38.15153984,79.74187902,,,,97.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,37178f44-355e-4955-8e84-2c251d59e740
927,W0422,Shiloh IV Wind Project; Shiloh IV Wind Project,Shiloh IV,102.5,299995.23,299995.0,Wind,Operating,,1.0,1324512000000.0,2011.0,,,N,,C-7,W2780,Solano,CA,0.0,1.0,0.0,WPRS,Solano,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Birds Landing,Senate District 3,Assembly District 11,Congressional District 3,70-75%,74.0,,,"<a href="""">Google Earth</a>",,-121.84066145,38.14560515,77.63517755,,,0.3331945,97.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,b9c37413-969f-4a5b-aee3-cd69fa7d6f9a
929,W0380,"EDF Renewable Windfarm V, Inc; EDF Renewable Windfarm V, Inc",EDF Renewable V,15.5,3484.33,3484.0,Wind,Operating,,1.0,631152000000.0,1990.0,,,N,,C-7,,Solano,CA,0.0,1.0,0.0,WPRS,Solano,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Antioch North,Senate District 3,Assembly District 11,Congressional District 3,70-75%,74.0,,,"<a href="""">Google Earth</a>",,-121.83501499,38.11851175,86.67200159,,,0.02558905,97.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,5d7eccb7-569f-4fb2-b4e6-5a27c7bf89b1
