Zip,Zip Percentage,Region,City,State,Year, Total Building Count , Total Roof Area (sq meters) , Total Potential Capacity with 10m2 minimum (kW) , Total potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - SMALL , Total Area in lidar (sq meters) - SMALL , Buildings - SMALL with any size available area , Area (sq meters) - SMALL with any size available area , Buildings - SMALL - with 10m2+ available area , Area (sq meters) - SMALL - with 10m2+ available area , Small building potential capacity with 10m2 minimum (kW) , Small building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - MEDIUM , Total Area in lidar (sq meters) - MEDIUM , Buildings - MEDIUM with any size available area , Area (sq meters) - MEDIUM with any size available area , Buildings - MEDIUM with 10m2+ available area , Area (sq meters) - MEDIUM with 10m2+ available area , Medium building potential capacity with 10m2 minimum (kW) , Medium building potential energy generation with 10m2 minimum (kWh/yr) , Total Buildings in lidar - LARGE , Total Area in lidar (sq meters) - LARGE , Buildings - LARGE with any size available area , Area (sq meters) - LARGE with any size available area , Buildings - LARGE - with 10m2+ available area , Area (sq meters) - LARGE - with 10m2+ available area , Large building potential capacity with 10m2 minimum (kW) , Large building potential energy generation with 10m2 minimum (kWh/yr) , Average Building Footprint (sq meters) ,% Buildings in SMALL category,% Area in SMALL category,% Buildings in MEDIUM category,% Area in MEDIUM category,% Buildings in LARGE category,% Area in LARGE category,% Buildings - SMALL,% Area - SMALL,% Buildings - SMALL - 10m2 ,% Area - SMALL - 10m2 ,% Buildings - MEDIUM,% Area - MEDIUM,% Buildings - MEDIUM - 10m2 ,% Area - MEDIUM - 10m2 ,% Buildings - LARGE,% Area - LARGE,% Buildings - LARGE - 10m2 ,% Area - LARGE - 10m2 ,ulocaledesc,2010_PopDens_SqMile,CensusRegion
1001,1,Springfield,  -   ,MA,2013,"  5,942 ","  1,539,046 ","67,556.30","73,369,500.00","5,547.00","841,766.98","4,963.00","140,651.28","2,428.00","90,464.34","15,836.00","17,222,200.00",332.00,"316,442.35",332.00,"158,530.15",314.00,"146,911.15","18,568.50","20,144,300.00",63.00,"380,837.01",63.00,"296,735.41",63.00,"289,371.00","33,151.80","36,003,000.00",259.01,93.4%,54.7%,5.6%,20.6%,1.1%,24.7%,89.5%,16.7%,43.8%,10.7%,100.0%,50.1%,94.6%,46.4%,100.0%,77.9%,100.0%,76.0%,Suburb Large,1412.617802,New England
1013,1,Springfield,  -   ,MA,2013,"  6,812 ","  1,261,220 ","49,915.03","56,005,600.00","6,614.00","906,649.02","6,264.00","205,486.01","3,774.00","143,370.74","24,048.20","26,996,500.00",170.00,"159,520.15",170.00,"83,369.81",165.00,"77,314.53","9,670.93","10,822,700.00",28.00,"195,051.30",28.00,"138,849.61",28.00,"135,403.79","16,195.90","18,186,400.00",185.15,97.1%,71.9%,2.5%,12.6%,0.4%,15.5%,94.7%,22.7%,57.1%,15.8%,100.0%,52.3%,97.1%,48.5%,100.0%,71.2%,100.0%,69.4%,Suburb Large,3762.096293,New England
1020,1,Springfield,  -   ,MA,2013,"  10,847 ","  2,036,520 ","80,375.20","90,141,700.00","10,500.00","1,393,172.17","9,793.00","283,644.17","5,054.00","185,165.75","31,226.20","35,025,800.00",294.00,"264,551.22",293.00,"137,559.55",279.00,"128,158.30","15,994.80","17,902,400.00",53.00,"378,796.50",53.00,"296,852.64",53.00,"290,332.49","33,154.20","37,213,500.00",187.75,96.8%,68.4%,2.7%,13.0%,0.5%,18.6%,93.3%,20.4%,48.1%,13.3%,99.7%,52.0%,94.9%,48.4%,100.0%,78.4%,100.0%,76.6%,Suburb Large,2164.667728,New England
1022,1,Springfield,  -   ,MA,2013,  776 ,"  587,934 ","42,603.75","47,683,720.00",608.00,"131,479.98",595.00,"32,721.64",398.00,"24,268.18","4,162.79","4,641,290.00",109.00,"100,941.32",109.00,"57,702.76",107.00,"54,054.75","6,772.56","7,575,530.00",59.00,"355,513.16",59.00,"273,778.97",59.00,"269,029.27","31,668.40","35,466,900.00",757.65,78.4%,22.4%,14.0%,17.2%,7.6%,60.5%,97.9%,24.9%,65.5%,18.5%,100.0%,57.2%,98.2%,53.6%,100.0%,77.0%,100.0%,75.7%,Suburb Large,1040.760658,New England
1027,0.04724629372,Springfield,  -   ,MA,2013,  982 ,"  156,942 ","2,698.67","2,966,631.00",976.00,"151,714.91",913.00,"21,843.20",401.00,"13,468.23","2,498.84","2,748,410.00",5.00,"2,813.09",5.00,837.73,5.00,690.94,107.22,"115,076.00",1.00,"2,413.72",1.00,739.72,1.00,577.99,92.62,"103,145.00",159.82,99.4%,96.7%,0.5%,1.8%,0.1%,1.5%,93.5%,14.4%,41.1%,8.9%,100.0%,29.8%,100.0%,24.6%,100.0%,30.6%,100.0%,23.9%,Suburb Large,421.1966117,New England
1028,0.9452947086,Springfield,  -   ,MA,2013,"  6,264 ","  1,582,350 ","66,211.51","74,249,740.00","6,044.00","980,849.84","5,550.00","143,924.01","2,384.00","87,193.75","15,820.10","17,669,700.00",176.00,"155,211.42",176.00,"73,545.42",163.00,"66,610.17","8,380.91","9,379,840.00",44.00,"446,288.57",44.00,"377,751.42",44.00,"371,678.94","42,010.50","47,200,200.00",252.61,96.5%,62.0%,2.8%,9.8%,0.7%,28.2%,91.8%,14.7%,39.4%,8.9%,100.0%,47.4%,92.6%,42.9%,100.0%,84.6%,100.0%,83.3%,Suburb Large,1166.540114,New England
1030,0.8242979464,Springfield,  -   ,MA,2007,"  3,747 ","  604,437 ","14,348.74","15,669,950.00","3,679.00","526,027.67","3,384.00","89,727.49","1,635.00","56,933.38","10,046.60","10,997,500.00",63.00,"55,007.03",63.00,"20,680.58",59.00,"18,050.43","2,369.61","2,572,550.00",5.00,"23,402.25",5.00,"17,131.35",5.00,"16,636.68","1,932.53","2,099,900.00",161.31,98.2%,87.0%,1.7%,9.1%,0.1%,3.9%,92.0%,17.1%,44.4%,10.8%,100.0%,37.6%,93.7%,32.8%,100.0%,73.2%,100.0%,71.1%,Suburb Large,940.1260414,New England
1033,0.1716781583,Springfield,  -   ,MA,2013,  674 ,"  142,586 ","5,596.35","6,261,780.00",652.00,"100,147.41",611.00,"18,158.45",295.00,"10,981.48","1,997.17","2,230,650.00",18.00,"17,532.73",18.00,"9,912.83",17.00,"9,175.74","1,164.30","1,296,990.00",4.00,"24,905.49",4.00,"21,900.27",4.00,"21,559.76","2,434.88","2,734,140.00",211.55,96.7%,70.2%,2.7%,12.3%,0.6%,17.5%,93.7%,18.1%,45.2%,11.0%,100.0%,56.5%,94.4%,52.3%,100.0%,87.9%,100.0%,86.6%,Rural Fringe,233.9300122,New England
1036,0.00820545606,Springfield,  -   ,MA,2013,  48 ,"  10,790 ",149.88,"172,395.10",45.00,"9,375.84",44.00,"1,248.76",19.00,630.92,123.29,"141,630.00",3.00,"1,413.91",3.00,255.64,3.00,131.70,26.59,"30,765.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.79,93.8%,86.9%,6.3%,13.1%,0.0%,0.0%,97.8%,13.3%,42.2%,6.7%,100.0%,18.1%,100.0%,9.3%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Suburb Large,261.5125829,New England
1040,0.7575110902,Springfield,  -   ,MA,2013,"  8,434 ","  2,505,795 ","120,094.90","130,497,000.00","7,828.00","1,201,591.95","7,407.00","232,163.80","3,961.00","154,244.79","25,329.30","27,589,000.00",490.00,"459,223.92",490.00,"241,424.47",470.00,"225,246.52","27,183.90","29,492,000.00",116.00,"844,979.33",116.00,"608,389.60",116.00,"587,970.03","67,581.70","73,416,000.00",297.11,92.8%,48.0%,5.8%,18.3%,1.4%,33.7%,94.6%,19.3%,50.6%,12.8%,100.0%,52.6%,95.9%,49.0%,100.0%,72.0%,100.0%,69.6%,Suburb Large,1765.852874,New England
