OBJECTID_12_13,Plant_ID,Plant_Alias,Plant_Label,MW,Gross_MWh,Net_MWh,General_Fuel,Status,STEP_License_Status,Gen_Count,Initial_Start_Date,Online_Year,Retire_Date,Docket_ID,CEC_Sited_Flag,STEP_Project_Type,REAT_ID,WREGIS_ID,County,State_,Peaker,Renewable_Energy,CEC_Jurisdictional_Plant,CEC_Data_Source,Wind_Resource,LRA,Sub_Area,Service_Area,Service_Category,Caliso_Balancing_Authorities,Air_District,Air_Basin,Quad,Senate_District,Assembly_District,Congressional_District,CES30_PercentileRange,CES30_Percentile,Website,CEC_Link,Aerial,C_Comments,Longitude,Latitude,Elevation,Operation_Job,Property_Tax,Capacity_Factor,Income_Percent,Project_Location,Creator,Creator_Date,Last_Editor,Last_Editor_Date,GlobalID
9,S0155,Fleshman Solar Farm,Kost (Fleshman Solar Farm),3.0,5556.0,5531.0,Solar,Operating,,1.0,1321660800000.0,2011.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Lodi North,Senate District 5,Assembly District 9,Congressional District 9,50-55%,51.0,,,"<a href="""">Google Earth</a>",,-121.33781013,38.23800804,10.43633615,,,0.20988919,64.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,c9bd60cc-014a-4b05-bef0-5d7e909fc82a
11,S0284,Bruceville Holdings LLC; Bruceville Rd. Solar Facility; Recurrent Bruceville Solar; RE Bruceville,RE Bruceville Solar 1,6.65,11418.0,11418.0,Solar,Operating,,1.0,1325376000000.0,2012.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62.0,,,"<a href="""">Google Earth</a>",,-121.41459319,38.34896793,8.43200016,,,0.19546818,122.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,7af0837e-dd75-45f4-8d2a-8abe7483ffc0
12,S0154,Lawrence Solar Farm Pam,Point Pleasant (Lawrence Solar Farm),1.0,1786.0,1775.0,Solar,Operating,,1.0,1325203200000.0,2011.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62.0,,,"<a href="""">Google Earth</a>",,-121.43129122,38.33887525,6.93199968,,,0.20207195,122.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,da8f27d0-4782-4134-a53d-c7e45010414b
13,S0203,Green Acres Solar Facility 2,Green Acres Solar Facility 2,1.0,2320.0,2320.0,Solar,Operating,,1.0,1346457600000.0,2012.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,50-55%,55.0,,,"<a href="""">Google Earth</a>",,-121.46182239,38.28346646,2.56974383,,,0.26411658,92.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,076043e8-2d7f-4f2e-8784-01b7117df401
14,S0204,Green Acres Solar Facility 1,Green Acres Solar Facility 1,3.0,6720.0,6720.0,Solar,Operating,,1.0,1346457600000.0,2012.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,50-55%,55.0,,,"<a href="""">Google Earth</a>",,-121.46578557,38.28231151,2.43200016,,,0.25500911,92.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,5d4e3336-af60-46b8-8034-30ab5537b4cc
15,S0205,Recurrent Kammerer Solar; RE Kammerer,RE Kammerer Road 1,6.65,11786.0,11786.0,Solar,Operating,,1.0,1325376000000.0,2012.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62.0,,,"<a href="""">Google Earth</a>",,-121.38756366,38.36366072,10.930567800000002,,,0.20176808,122.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,a5adba14-ab2e-4118-8dfd-c9a954af8214
16,S0156,Grundman-Wilkinson Solar Farm; Sacramento Municipal District at Grundman,Grundman-Wilkinson Solar Farm (Bruceville Road),18.0,35270.56,35077.0,Solar,Operating,,1.0,1325030400000.0,2011.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62.0,,,"<a href="""">Google Earth</a>",,-121.41318397,38.36568829,8.93495339,,,0.22184907,122.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,7df99b4c-5f0d-49c7-b316-e8d6dd4a2096
17,S0206,,RE Kammerer Road 2,6.65,12212.0,12212.0,Solar,Operating,,1.0,1325376000000.0,2012.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62.0,,,"<a href="""">Google Earth</a>",,-121.38345913,38.36368655,11.52952678,,,0.2090609,122.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,99d6fbec-59c8-4c9a-8cb0-f97eee7822b3
18,S0207,,RE Kammerer Road 3,6.65,12054.0,12054.0,Solar,Operating,,1.0,1325376000000.0,2012.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62.0,,,"<a href="""">Google Earth</a>",,-121.38228212,38.36093368,11.63199994,,,0.20635605,122.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,8df5df89-0472-47fb-8e9b-b47b8727d236
19,S0285,Bruceville Holdings LLC; Bruceville Rd. Solar Facility; Recurrent Bruceville Solar; RE Bruceville,RE Bruceville Solar 2,6.65,11913.0,11913.0,Solar,Operating,,1.0,1325376000000.0,2012.0,,,N,,C-6,,Sacramento,CA,0.0,1.0,0.0,QFER,,Sierra,Drum-Rio Oso,Sacramento Municipal Utility District,,BANC,Sacramento Metro Air Quality Management District,Sacramento Valley,Bruceville,Senate District 3,Assembly District 9,Congressional District 3,60-65%,62.0,,,"<a href="""">Google Earth</a>",,-121.41498325,38.34671376,8.53200054,,,0.20394223,122.0,Neither Low Income Nor Disadvantaged Community,cecgis,1581101982706,cecgis,1581101982706,a0389c86-fda4-41b0-a833-555870739c22
