date,0,1,2,3,4,5,6
2020-03-15 00:00:00,71,86,65,75,66,100,94
2020-03-15 01:00:00,71,86,68,77,72,100,97
2020-03-15 02:00:00,73,85,68,78,76,100,99
2020-03-15 03:00:00,90,87,63,79,79,100,100
2020-03-15 04:00:00,87,86,66,79,80,100,100
2020-03-15 05:00:00,77,84,66,77,77,100,98
2020-03-15 06:00:00,78,86,66,74,77,100,99
2020-03-15 07:00:00,72,87,63,75,77,100,100
2020-03-15 08:00:00,74,84,57,75,80,100,96
2020-03-15 09:00:00,71,81,50,70,75,100,90
2020-03-15 10:00:00,69,76,43,62,75,100,83
2020-03-15 11:00:00,70,72,41,53,75,100,73
2020-03-15 12:00:00,67,70,40,45,74,100,68
2020-03-15 13:00:00,61,71,43,38,68,100,65
2020-03-15 14:00:00,58,69,45,34,71,100,71
2020-03-15 15:00:00,67,64,45,30,82,100,70
2020-03-15 16:00:00,63,67,49,29,82,100,71
2020-03-15 17:00:00,66,67,49,34,78,100,75
2020-03-15 18:00:00,67,70,52,35,76,100,80
2020-03-15 19:00:00,74,73,56,38,77,100,89
2020-03-15 20:00:00,78,77,58,47,87,100,93
2020-03-15 21:00:00,79,82,60,58,96,100,95
2020-03-15 22:00:00,77,85,62,66,97,100,95
2020-03-15 23:00:00,80,87,63,72,93,100,95
2020-03-16 00:00:00,82,89,62,74,89,100,94
2020-03-16 01:00:00,81,91,63,77,86,100,97
2020-03-16 02:00:00,80,92,64,79,89,100,97
2020-03-16 03:00:00,85,92,58,81,89,100,96
2020-03-16 04:00:00,80,92,59,82,89,100,95
2020-03-16 05:00:00,85,92,58,83,89,100,93
2020-03-16 06:00:00,89,92,59,81,82,100,92
2020-03-16 07:00:00,90,93,61,81,80,100,92
2020-03-16 08:00:00,91,92,57,79,74,100,88
2020-03-16 09:00:00,90,89,53,71,63,100,82
2020-03-16 10:00:00,87,86,49,59,49,100,73
2020-03-16 11:00:00,90,83,42,46,36,100,66
2020-03-16 12:00:00,87,80,41,34,26,100,60
2020-03-16 13:00:00,84,77,41,28,20,100,59
2020-03-16 14:00:00,80,75,40,23,15,100,63
2020-03-16 15:00:00,86,72,42,19,12,98,67
2020-03-16 16:00:00,87,68,42,17,11,100,69
2020-03-16 17:00:00,88,71,45,20,13,100,73
2020-03-16 18:00:00,93,73,50,22,15,100,83
2020-03-16 19:00:00,95,75,55,25,18,100,88
2020-03-16 20:00:00,97,80,57,31,25,100,91
2020-03-16 21:00:00,96,83,56,38,36,100,93
2020-03-16 22:00:00,89,85,58,44,43,100,95
2020-03-16 23:00:00,93,88,53,49,51,100,96
2020-03-17 00:00:00,85,89,57,54,56,100,97
2020-03-17 01:00:00,92,90,58,60,57,100,99
2020-03-17 02:00:00,88,92,61,64,54,100,100
2020-03-17 03:00:00,91,93,68,68,56,100,100
2020-03-17 04:00:00,92,93,65,69,59,100,100
2020-03-17 05:00:00,88,92,62,70,62,100,100
2020-03-17 06:00:00,87,93,61,70,60,100,100
2020-03-17 07:00:00,88,93,67,70,63,100,100
2020-03-17 08:00:00,88,92,59,72,59,100,100
2020-03-17 09:00:00,83,87,48,66,58,100,98
2020-03-17 10:00:00,77,82,44,55,48,100,94
2020-03-17 11:00:00,71,74,39,44,41,100,88
2020-03-17 12:00:00,67,67,35,35,32,100,83
2020-03-17 13:00:00,65,63,33,29,28,100,78
2020-03-17 14:00:00,62,57,32,26,25,100,71
2020-03-17 15:00:00,70,55,33,26,27,100,65
2020-03-17 16:00:00,86,56,32,27,29,100,62
2020-03-17 17:00:00,78,59,31,27,31,100,68
2020-03-17 18:00:00,81,65,31,29,35,100,75
2020-03-17 19:00:00,86,71,31,35,39,100,80
2020-03-17 20:00:00,88,75,35,43,48,100,86
2020-03-17 21:00:00,87,78,37,52,58,100,90
2020-03-17 22:00:00,83,80,39,59,65,100,94
2020-03-17 23:00:00,83,82,45,66,71,100,95
2020-03-18 00:00:00,84,84,48,69,72,100,96
2020-03-18 01:00:00,88,86,50,75,77,100,97
2020-03-18 02:00:00,89,87,52,78,80,100,98
2020-03-18 03:00:00,89,88,53,80,84,100,100
2020-03-18 04:00:00,89,89,49,83,88,100,100
2020-03-18 05:00:00,88,90,52,85,89,100,100
2020-03-18 06:00:00,86,89,51,85,88,100,100
2020-03-18 07:00:00,84,89,47,86,85,100,100
2020-03-18 08:00:00,88,87,44,87,81,100,100
2020-03-18 09:00:00,83,83,42,82,66,100,100
2020-03-18 10:00:00,75,77,54,74,51,100,100
2020-03-18 11:00:00,70,70,63,62,41,100,100
2020-03-18 12:00:00,62,64,65,56,36,100,100
2020-03-18 13:00:00,58,60,68,50,36,100,100
2020-03-18 14:00:00,57,59,70,49,40,100,100
2020-03-18 15:00:00,61,59,72,59,45,100,100
2020-03-18 16:00:00,60,61,66,61,55,100,99
2020-03-18 17:00:00,62,63,61,62,67,100,97
2020-03-18 18:00:00,63,68,57,59,73,100,99
2020-03-18 19:00:00,70,73,56,67,85,100,100
2020-03-18 20:00:00,71,77,55,70,86,100,100
2020-03-18 21:00:00,75,81,58,77,89,100,100
2020-03-18 22:00:00,77,84,57,80,91,100,100
2020-03-18 23:00:00,76,86,59,83,94,100,100
2020-03-19 00:00:00,72,87,56,84,94,100,100
2020-03-19 01:00:00,73,88,58,88,90,100,99
2020-03-19 02:00:00,73,89,61,89,84,100,98
2020-03-19 03:00:00,74,90,63,91,79,100,99
2020-03-19 04:00:00,82,91,64,89,82,100,100
2020-03-19 05:00:00,79,91,63,89,82,100,100
2020-03-19 06:00:00,83,92,61,88,83,100,100
2020-03-19 07:00:00,89,92,64,91,84,100,100
2020-03-19 08:00:00,84,89,64,88,82,100,100
2020-03-19 09:00:00,83,84,61,87,72,100,100
2020-03-19 10:00:00,72,77,55,79,61,100,100
2020-03-19 11:00:00,67,71,51,70,50,100,93
2020-03-19 12:00:00,63,63,57,64,44,97,85
2020-03-19 13:00:00,62,56,48,51,37,91,82
2020-03-19 14:00:00,59,51,41,40,31,83,85
2020-03-19 15:00:00,61,47,52,35,28,76,85
2020-03-19 16:00:00,66,46,49,32,26,82,88
2020-03-19 17:00:00,79,47,59,40,28,80,91
2020-03-19 18:00:00,78,49,60,44,30,85,95
2020-03-19 19:00:00,90,54,65,55,33,98,96
2020-03-19 20:00:00,93,62,61,56,40,100,98
2020-03-19 21:00:00,92,68,63,61,52,100,100
2020-03-19 22:00:00,93,73,60,65,60,100,100
2020-03-19 23:00:00,93,78,61,69,66,100,100
2020-03-20 00:00:00,93,81,57,73,71,100,100
2020-03-20 01:00:00,93,83,61,76,75,100,100
2020-03-20 02:00:00,92,86,63,80,76,100,99
2020-03-20 03:00:00,93,88,62,82,77,100,100
2020-03-20 04:00:00,92,89,60,84,80,100,100
2020-03-20 05:00:00,91,89,67,83,83,100,100
2020-03-20 06:00:00,93,91,65,85,84,100,100
2020-03-20 07:00:00,92,92,70,82,82,100,100
2020-03-20 08:00:00,94,90,63,82,79,100,96
2020-03-20 09:00:00,90,85,57,79,71,100,89
2020-03-20 10:00:00,80,76,50,69,66,100,80
2020-03-20 11:00:00,80,69,44,60,61,97,73
2020-03-20 12:00:00,76,62,38,53,57,85,69
2020-03-20 13:00:00,71,53,37,46,51,79,66
2020-03-20 14:00:00,67,47,37,40,43,71,61
2020-03-20 15:00:00,63,43,38,37,41,67,59
2020-03-20 16:00:00,64,40,38,36,41,62,58
2020-03-20 17:00:00,68,42,38,35,45,63,62
2020-03-20 18:00:00,69,43,39,38,55,68,65
2020-03-20 19:00:00,72,48,43,41,60,80,70
2020-03-20 20:00:00,76,56,44,48,64,91,73
2020-03-20 21:00:00,74,63,49,59,71,96,78
2020-03-20 22:00:00,75,68,52,64,75,100,81
2020-03-20 23:00:00,79,72,55,68,80,100,81
2020-03-21 00:00:00,86,77,53,71,83,99,83
2020-03-21 01:00:00,88,80,57,73,86,99,87
2020-03-21 02:00:00,87,82,57,74,89,100,88
2020-03-21 03:00:00,84,84,58,75,92,100,94
2020-03-21 04:00:00,90,85,58,75,94,100,100
2020-03-21 05:00:00,88,85,60,77,95,100,100
2020-03-21 06:00:00,87,86,60,76,95,100,98
2020-03-21 07:00:00,84,85,62,74,93,100,95
2020-03-21 08:00:00,84,83,56,74,92,100,91
2020-03-21 09:00:00,78,82,50,69,91,97,79
2020-03-21 10:00:00,74,78,48,62,85,91,65
2020-03-21 11:00:00,71,74,37,54,75,85,55
2020-03-21 12:00:00,67,65,34,48,62,76,52
2020-03-21 13:00:00,64,59,33,43,50,71,50
2020-03-21 14:00:00,62,53,33,38,44,65,47
2020-03-21 15:00:00,56,50,38,32,44,61,46
2020-03-21 16:00:00,55,51,37,29,44,67,53
2020-03-21 17:00:00,57,50,35,28,45,69,55
2020-03-21 18:00:00,60,52,37,31,46,74,65
2020-03-21 19:00:00,71,58,45,34,55,84,78
2020-03-21 20:00:00,79,65,54,40,64,89,86
2020-03-21 21:00:00,85,70,58,48,74,97,89
2020-03-21 22:00:00,91,76,54,56,77,100,89
2020-03-21 23:00:00,85,79,63,64,77,100,87
2020-03-22 00:00:00,92,82,57,70,76,100,88
2020-03-22 01:00:00,87,85,64,74,75,100,87
2020-03-22 02:00:00,82,87,65,77,74,100,82
2020-03-22 03:00:00,83,88,64,79,74,100,77
2020-03-22 04:00:00,77,89,64,79,73,100,76
2020-03-22 05:00:00,74,92,59,80,74,100,72
2020-03-22 06:00:00,77,92,61,79,71,100,72
2020-03-22 07:00:00,74,93,57,78,64,100,70
2020-03-22 08:00:00,68,89,54,75,59,100,66
2020-03-22 09:00:00,67,85,48,70,48,100,57
2020-03-22 10:00:00,67,78,43,57,39,100,45
2020-03-22 11:00:00,67,68,33,43,31,94,41
2020-03-22 12:00:00,61,61,30,35,24,84,38
2020-03-22 13:00:00,55,55,29,29,20,73,36
2020-03-22 14:00:00,54,49,29,25,17,62,36
2020-03-22 15:00:00,54,45,25,21,15,60,40
2020-03-22 16:00:00,53,44,24,19,14,62,49
2020-03-22 17:00:00,55,43,30,19,17,59,58
2020-03-22 18:00:00,64,48,40,20,18,63,68
2020-03-22 19:00:00,84,55,47,23,22,71,78
2020-03-22 20:00:00,87,67,53,28,30,83,86
2020-03-22 21:00:00,90,73,50,36,39,92,92
2020-03-22 22:00:00,87,76,56,43,44,98,97
2020-03-22 23:00:00,90,78,62,49,47,100,100
2020-03-23 00:00:00,96,79,59,56,49,100,100
2020-03-23 01:00:00,92,80,72,60,50,100,100
2020-03-23 02:00:00,94,82,70,64,51,100,100
2020-03-23 03:00:00,92,83,75,67,56,100,100
2020-03-23 04:00:00,92,86,81,70,59,100,100
2020-03-23 05:00:00,88,83,66,72,62,100,100
2020-03-23 06:00:00,92,87,63,74,60,100,100
2020-03-23 07:00:00,92,91,61,73,58,100,100
2020-03-23 08:00:00,92,87,58,73,49,100,98
2020-03-23 09:00:00,86,81,62,70,39,100,94
2020-03-23 10:00:00,79,74,67,68,32,100,92
2020-03-23 11:00:00,77,67,57,69,24,100,86
2020-03-23 12:00:00,70,63,47,70,21,100,83
2020-03-23 13:00:00,67,59,46,67,20,100,76
2020-03-23 14:00:00,66,59,45,60,17,100,68
2020-03-23 15:00:00,63,56,42,55,15,100,64
2020-03-23 16:00:00,63,60,42,49,12,100,69
2020-03-23 17:00:00,61,61,45,50,12,100,71
2020-03-23 18:00:00,61,63,48,50,10,100,75
2020-03-23 19:00:00,67,67,52,54,11,100,83
2020-03-23 20:00:00,72,70,55,60,15,100,88
2020-03-23 21:00:00,77,73,60,68,20,100,90
2020-03-23 22:00:00,82,75,63,73,24,100,90
2020-03-23 23:00:00,85,76,67,77,28,100,92
2020-03-24 00:00:00,82,78,68,77,31,100,90
2020-03-24 01:00:00,80,79,69,78,39,100,92
2020-03-24 02:00:00,88,81,68,77,48,100,94
2020-03-24 03:00:00,90,83,67,78,57,100,90
2020-03-24 04:00:00,89,83,69,78,66,100,88
2020-03-24 05:00:00,87,84,70,79,72,100,91
2020-03-24 06:00:00,85,86,68,78,73,100,91
2020-03-24 07:00:00,82,85,68,77,74,100,89
2020-03-24 08:00:00,83,81,65,75,66,100,87
2020-03-24 09:00:00,82,71,60,69,54,100,78
2020-03-24 10:00:00,80,57,57,59,44,100,67
2020-03-24 11:00:00,84,50,55,48,34,100,56
2020-03-24 12:00:00,82,49,48,40,26,100,51
2020-03-24 13:00:00,78,52,44,36,20,100,49
2020-03-24 14:00:00,76,65,42,32,17,100,50
2020-03-24 15:00:00,73,69,40,33,13,100,53
2020-03-24 16:00:00,75,67,39,33,11,100,55
2020-03-24 17:00:00,77,65,40,33,11,100,60
2020-03-24 18:00:00,82,71,44,34,12,100,66
2020-03-24 19:00:00,85,77,49,36,15,100,77
2020-03-24 20:00:00,85,80,57,41,21,100,83
2020-03-24 21:00:00,87,81,62,46,30,100,87
2020-03-24 22:00:00,85,83,64,52,31,100,88
2020-03-24 23:00:00,85,85,67,57,28,100,91
2020-03-25 00:00:00,88,85,60,59,25,100,91
2020-03-25 01:00:00,84,86,65,61,28,100,94
2020-03-25 02:00:00,83,87,64,62,31,100,93
2020-03-25 03:00:00,86,88,66,64,36,100,89
2020-03-25 04:00:00,88,89,67,65,41,100,91
2020-03-25 05:00:00,93,90,61,66,44,100,91
2020-03-25 06:00:00,90,92,65,65,39,100,89
2020-03-25 07:00:00,86,91,65,67,36,100,91
2020-03-25 08:00:00,81,89,60,66,32,100,90
2020-03-25 09:00:00,81,80,54,57,23,100,80
2020-03-25 10:00:00,74,69,50,48,17,100,70
2020-03-25 11:00:00,72,61,47,38,12,100,64
2020-03-25 12:00:00,68,54,43,31,9,100,59
2020-03-25 13:00:00,69,49,39,26,8,97,59
2020-03-25 14:00:00,74,46,40,21,8,86,60
2020-03-25 15:00:00,74,42,37,18,8,79,63
2020-03-25 16:00:00,78,39,38,17,8,73,67
2020-03-25 17:00:00,78,43,41,17,10,87,70
2020-03-25 18:00:00,77,47,42,17,14,85,79
2020-03-25 19:00:00,78,53,51,18,16,99,88
2020-03-25 20:00:00,72,61,56,22,21,100,91
2020-03-25 21:00:00,84,68,53,27,27,100,94
2020-03-25 22:00:00,91,72,58,33,30,100,97
2020-03-25 23:00:00,83,75,68,39,32,100,98
2020-03-26 00:00:00,92,78,65,47,34,100,100
2020-03-26 01:00:00,94,79,65,54,35,100,100
2020-03-26 02:00:00,91,80,59,59,34,100,100
2020-03-26 03:00:00,88,82,55,66,36,100,100
2020-03-26 04:00:00,90,84,57,69,40,100,100
2020-03-26 05:00:00,87,85,56,79,42,100,98
2020-03-26 06:00:00,87,86,56,85,38,100,94
2020-03-26 07:00:00,81,87,62,90,38,100,94
2020-03-26 08:00:00,83,85,56,88,37,100,91
2020-03-26 09:00:00,85,76,46,86,35,100,85
2020-03-26 10:00:00,81,66,41,83,33,96,79
2020-03-26 11:00:00,74,58,35,80,32,84,68
2020-03-26 12:00:00,70,52,32,77,29,69,63
2020-03-26 13:00:00,64,47,30,71,26,59,55
2020-03-26 14:00:00,60,41,28,62,25,47,57
2020-03-26 15:00:00,62,37,28,54,26,44,57
2020-03-26 16:00:00,63,36,30,49,26,46,57
2020-03-26 17:00:00,57,35,29,50,27,44,58
2020-03-26 18:00:00,60,38,34,55,28,48,65
2020-03-26 19:00:00,64,45,37,54,30,58,77
2020-03-26 20:00:00,70,55,44,63,34,73,89
2020-03-26 21:00:00,74,62,46,68,42,79,93
2020-03-26 22:00:00,80,66,48,70,49,82,94
2020-03-26 23:00:00,85,71,51,71,55,85,97
2020-03-27 00:00:00,86,74,54,72,58,88,97
2020-03-27 01:00:00,85,77,54,73,62,90,96
2020-03-27 02:00:00,81,79,57,75,66,92,96
2020-03-27 03:00:00,85,81,58,77,71,92,94
2020-03-27 04:00:00,85,82,56,76,73,94,94
2020-03-27 05:00:00,78,84,61,73,74,98,100
2020-03-27 06:00:00,83,85,59,75,71,99,99
2020-03-27 07:00:00,82,87,57,72,76,99,99
2020-03-27 08:00:00,76,83,52,68,72,99,94
2020-03-27 09:00:00,80,74,49,71,63,93,84
2020-03-27 10:00:00,69,62,44,63,54,83,73
2020-03-27 11:00:00,64,51,36,54,43,72,62
2020-03-27 12:00:00,58,45,40,48,33,68,56
2020-03-27 13:00:00,56,41,29,40,26,64,49
2020-03-27 14:00:00,55,39,32,32,21,60,47
2020-03-27 15:00:00,54,40,29,27,18,58,46
2020-03-27 16:00:00,54,45,27,24,16,65,52
2020-03-27 17:00:00,54,49,27,27,16,62,53
2020-03-27 18:00:00,55,54,31,28,16,69,56
2020-03-27 19:00:00,60,60,36,31,20,76,62
2020-03-27 20:00:00,62,65,41,39,25,87,69
2020-03-27 21:00:00,61,70,46,45,30,93,73
2020-03-27 22:00:00,50,75,52,49,35,98,77
2020-03-27 23:00:00,48,79,52,53,42,96,79
2020-03-28 00:00:00,55,82,52,59,50,98,79
2020-03-28 01:00:00,60,84,54,59,56,100,76
2020-03-28 02:00:00,57,84,54,61,62,100,68
2020-03-28 03:00:00,57,87,52,65,67,100,66
2020-03-28 04:00:00,61,88,51,65,69,100,62
2020-03-28 05:00:00,66,89,49,66,67,100,60
2020-03-28 06:00:00,72,88,49,66,62,100,58
