date,0,1,2,3,4,5,6
2019-10-15 00:00:00,34,64,30,20,68,41,42
2019-10-15 01:00:00,32,65,26,24,76,40,41
2019-10-15 02:00:00,27,67,23,27,82,44,38
2019-10-15 03:00:00,24,70,24,27,85,47,35
2019-10-15 04:00:00,25,71,26,24,87,47,34
2019-10-15 05:00:00,26,74,24,26,82,49,34
2019-10-15 06:00:00,25,76,25,27,73,49,33
2019-10-15 07:00:00,30,78,21,25,61,49,34
2019-10-15 08:00:00,21,79,19,24,51,50,34
2019-10-15 09:00:00,21,70,16,18,38,45,33
2019-10-15 10:00:00,14,55,15,12,24,38,34
2019-10-15 11:00:00,13,46,20,8,15,31,34
2019-10-15 12:00:00,12,38,23,6,12,25,32
2019-10-15 13:00:00,12,33,21,5,10,22,30
2019-10-15 14:00:00,11,27,20,4,9,19,28
2019-10-15 15:00:00,10,23,19,3,9,19,25
2019-10-15 16:00:00,9,20,18,3,9,20,25
2019-10-15 17:00:00,10,20,18,3,10,21,26
2019-10-15 18:00:00,11,24,19,3,10,26,29
2019-10-15 19:00:00,15,34,17,4,14,32,33
2019-10-15 20:00:00,16,46,18,6,24,37,37
2019-10-15 21:00:00,15,55,19,7,33,41,39
2019-10-15 22:00:00,19,62,19,8,40,43,40
2019-10-15 23:00:00,16,63,19,10,47,42,37
2019-10-16 00:00:00,22,65,20,11,50,43,37
2019-10-16 01:00:00,20,66,20,11,56,45,38
2019-10-16 02:00:00,23,66,22,11,61,46,39
2019-10-16 03:00:00,29,71,22,12,66,46,40
2019-10-16 04:00:00,33,74,22,14,71,48,41
2019-10-16 05:00:00,29,78,22,16,78,50,40
2019-10-16 06:00:00,32,79,22,13,74,51,41
2019-10-16 07:00:00,39,80,23,14,70,55,40
2019-10-16 08:00:00,35,79,19,14,65,57,36
2019-10-16 09:00:00,23,70,18,13,53,52,29
2019-10-16 10:00:00,16,59,15,9,41,46,24
2019-10-16 11:00:00,16,52,13,6,29,37,20
2019-10-16 12:00:00,15,45,13,5,21,33,17
2019-10-16 13:00:00,16,36,14,5,16,30,16
2019-10-16 14:00:00,16,30,13,5,12,29,18
2019-10-16 15:00:00,16,29,13,5,10,28,18
2019-10-16 16:00:00,16,33,13,5,10,30,18
2019-10-16 17:00:00,17,36,14,5,11,32,19
2019-10-16 18:00:00,18,46,16,5,12,37,22
2019-10-16 19:00:00,25,57,20,6,16,43,28
2019-10-16 20:00:00,32,64,22,9,21,50,32
2019-10-16 21:00:00,34,69,23,12,28,58,35
2019-10-16 22:00:00,31,72,24,14,32,68,36
2019-10-16 23:00:00,31,76,24,16,35,78,34
2019-10-17 00:00:00,29,79,22,18,37,96,33
2019-10-17 01:00:00,30,82,24,19,44,100,32
2019-10-17 02:00:00,33,84,23,22,50,100,31
2019-10-17 03:00:00,36,85,23,26,59,100,32
2019-10-17 04:00:00,33,86,22,28,63,100,32
2019-10-17 05:00:00,44,87,23,28,62,100,32
2019-10-17 06:00:00,54,87,23,27,61,100,34
2019-10-17 07:00:00,58,89,24,28,57,100,34
2019-10-17 08:00:00,56,82,23,28,51,100,34
2019-10-17 09:00:00,51,70,21,25,37,100,29
2019-10-17 10:00:00,46,57,20,22,28,100,26
2019-10-17 11:00:00,55,47,18,19,20,100,22
2019-10-17 12:00:00,57,39,16,17,15,84,20
2019-10-17 13:00:00,59,33,16,15,14,71,22
2019-10-17 14:00:00,55,29,17,14,13,63,23
2019-10-17 15:00:00,55,27,20,13,13,61,26
2019-10-17 16:00:00,59,28,23,13,17,59,27
2019-10-17 17:00:00,64,33,25,14,23,65,32
2019-10-17 18:00:00,65,40,28,15,28,71,42
2019-10-17 19:00:00,65,48,34,19,35,83,58
2019-10-17 20:00:00,63,56,42,25,44,91,74
2019-10-17 21:00:00,55,60,50,30,54,94,80
2019-10-17 22:00:00,62,62,56,37,61,97,87
2019-10-17 23:00:00,68,66,55,56,63,100,88
2019-10-18 00:00:00,69,69,56,76,65,100,91
2019-10-18 01:00:00,65,72,56,81,68,100,91
2019-10-18 02:00:00,67,73,53,82,72,100,84
2019-10-18 03:00:00,68,75,53,82,75,100,74
2019-10-18 04:00:00,67,77,54,83,80,100,68
2019-10-18 05:00:00,62,78,52,82,84,100,63
2019-10-18 06:00:00,65,79,50,86,82,100,56
2019-10-18 07:00:00,71,79,47,85,80,100,48
2019-10-18 08:00:00,66,77,46,83,73,100,44
2019-10-18 09:00:00,59,66,42,83,57,100,34
2019-10-18 10:00:00,47,58,30,70,46,99,21
2019-10-18 11:00:00,43,53,21,52,37,89,16
2019-10-18 12:00:00,41,50,13,40,31,79,14
2019-10-18 13:00:00,37,45,9,33,28,68,10
2019-10-18 14:00:00,35,40,8,29,29,57,10
2019-10-18 15:00:00,37,40,9,25,26,53,10
2019-10-18 16:00:00,35,39,12,23,25,52,11
2019-10-18 17:00:00,38,43,11,21,25,57,14
2019-10-18 18:00:00,37,50,16,23,24,63,19
2019-10-18 19:00:00,42,60,21,27,27,73,40
2019-10-18 20:00:00,46,68,21,33,33,80,47
2019-10-18 21:00:00,46,73,25,38,42,85,48
2019-10-18 22:00:00,45,78,24,42,46,89,48
2019-10-18 23:00:00,46,79,22,43,47,92,45
2019-10-19 00:00:00,46,82,22,42,46,98,47
2019-10-19 01:00:00,52,84,22,41,46,100,49
2019-10-19 02:00:00,52,85,25,43,46,100,44
2019-10-19 03:00:00,52,86,26,46,47,100,40
2019-10-19 04:00:00,54,86,26,46,50,100,38
2019-10-19 05:00:00,57,85,26,45,56,100,36
2019-10-19 06:00:00,59,81,26,47,50,100,33
2019-10-19 07:00:00,61,78,22,46,52,100,29
2019-10-19 08:00:00,59,74,22,45,50,100,27
2019-10-19 09:00:00,52,68,20,42,45,100,24
2019-10-19 10:00:00,48,63,18,31,36,100,20
2019-10-19 11:00:00,43,60,13,22,26,100,15
2019-10-19 12:00:00,41,56,12,17,16,100,14
2019-10-19 13:00:00,41,53,12,14,11,100,14
2019-10-19 14:00:00,37,52,12,12,7,100,13
2019-10-19 15:00:00,39,55,13,10,7,95,13
2019-10-19 16:00:00,44,60,13,9,6,84,14
2019-10-19 17:00:00,42,64,15,11,7,93,20
2019-10-19 18:00:00,47,71,16,14,10,99,27
2019-10-19 19:00:00,56,77,21,17,14,100,32
2019-10-19 20:00:00,63,81,25,25,19,100,33
2019-10-19 21:00:00,67,84,28,37,24,100,32
2019-10-19 22:00:00,61,86,27,44,28,100,30
2019-10-19 23:00:00,63,88,30,50,30,100,27
2019-10-20 00:00:00,66,88,29,53,31,100,25
2019-10-20 01:00:00,65,91,28,59,36,100,23
2019-10-20 02:00:00,65,91,25,62,38,100,20
2019-10-20 03:00:00,67,92,25,67,41,100,20
2019-10-20 04:00:00,69,91,25,70,45,100,21
2019-10-20 05:00:00,71,91,30,74,45,100,22
2019-10-20 06:00:00,74,90,29,75,38,100,23
2019-10-20 07:00:00,75,89,30,78,36,97,25
2019-10-20 08:00:00,75,83,28,77,33,93,26
2019-10-20 09:00:00,71,72,19,69,25,86,26
2019-10-20 10:00:00,68,53,15,56,16,74,23
2019-10-20 11:00:00,60,41,14,43,12,64,19
2019-10-20 12:00:00,47,32,13,35,11,56,17
2019-10-20 13:00:00,42,27,13,28,12,50,16
2019-10-20 14:00:00,46,25,13,24,14,46,14
2019-10-20 15:00:00,46,23,12,21,16,47,13
2019-10-20 16:00:00,51,24,12,20,16,55,16
2019-10-20 17:00:00,54,26,12,21,16,59,16
2019-10-20 18:00:00,55,30,13,21,14,69,18
2019-10-20 19:00:00,58,36,14,23,12,79,19
2019-10-20 20:00:00,60,45,14,29,9,83,20
2019-10-20 21:00:00,56,51,14,34,9,87,21
2019-10-20 22:00:00,59,56,14,36,10,92,21
2019-10-20 23:00:00,63,60,15,38,12,94,20
2019-10-21 00:00:00,58,64,16,36,14,97,20
2019-10-21 01:00:00,61,67,16,40,16,99,21
2019-10-21 02:00:00,56,70,17,42,17,100,22
2019-10-21 03:00:00,61,71,18,44,19,100,22
2019-10-21 04:00:00,54,74,18,43,21,100,21
2019-10-21 05:00:00,63,80,19,45,24,100,21
2019-10-21 06:00:00,57,82,21,46,23,97,22
2019-10-21 07:00:00,60,83,19,45,22,95,22
2019-10-21 08:00:00,58,79,19,47,21,92,19
2019-10-21 09:00:00,51,64,16,41,16,84,17
2019-10-21 10:00:00,39,47,14,33,16,74,16
2019-10-21 11:00:00,27,37,12,28,15,61,14
2019-10-21 12:00:00,25,29,12,22,15,51,14
