Type,Year,PG&E,SCE,SDG&E,SMUD,LADWP,BUGL,PASA,IID
Residential,1977,4.0,4.2,4.8,2.0,4.4,4.4,4.4,4.4
Residential,1978,3.6,4.5,4.7,2.1,4.8,4.8,4.8,4.8
Residential,1979,4.0,4.6,5.4,2.2,5.4,5.4,5.4,5.4
Residential,1980,4.8,6.2,8.0,2.6,6.2,6.2,6.2,6.2
Residential,1981,6.1,6.7,9.0,3.0,6.5,6.5,6.5,6.5
Residential,1982,6.2,7.5,11.3,3.5,6.4,6.4,6.4,6.4
Residential,1983,6.2,7.3,11.8,4.0,6.1,6.1,6.1,6.1
Residential,1984,7.6,7.5,11.4,4.2,6.4,6.4,6.4,6.4
Residential,1985,8.3,7.8,12.4,4.9,6.8,6.8,6.8,6.8
Residential,1986,8.5,8.1,11.3,6.0,7.0,7.0,7.0,7.0
Residential,1987,7.8,8.2,10.6,7.3,7.4,7.4,7.4,7.4
Residential,1988,8.7,9.0,10.8,8.1,8.0,8.0,8.0,8.0
Residential,1989,9.9,10.1,10.8,8.0,8.6,8.6,8.6,8.6
Residential,1990,10.4,10.7,10.2,8.2,8.9,8.9,8.9,7.1
Residential,1991,11.6,11.6,10.7,8.2,9.0,8.9,9.0,7.3
Residential,1992,11.8,12.1,10.9,8.2,9.2,9.3,9.1,7.9
Residential,1993,12.2,12.1,10.9,7.6,9.8,9.7,9.3,8.4
Residential,1994,12.3,12.3,11.1,8.0,10.0,10.0,9.6,8.6
Residential,1995,12.2,12.9,11.1,8.2,9.8,9.9,9.3,7.9
Residential,1996,11.9,12.4,11.0,8.3,9.8,9.8,9.3,8.1
Residential,1997,11.9,12.7,11.2,8.3,10.2,9.9,10.1,8.3
Residential,1998,10.8,11.4,10.2,8.5,10.3,10.2,10.8,8.3
Residential,1999,10.7,11.5,10.5,8.5,11.1,11.0,11.8,8.0
Residential,2000,10.7,11.6,13.7,8.6,11.1,12.0,15.7,8.8
Residential,2001,12.5,12.9,13.9,9.6,10.1,11.4,12.5,9.6
Residential,2002,13.2,13.7,14.4,10.1,9.0,11.8,11.9,10.1
Residential,2003,12.6,12.7,14.7,10.1,10.2,14.1,11.2,10.3
Residential,2004,12.6,12.6,14.4,9.9,10.2,13.2,11.5,10.3
Residential,2005,12.9,12.8,14.7,10.4,10.2,13.1,11.6,10.1
Residential,2006,14.6,15.7,16.4,10.6,10.2,13.9,12.5,11.9
Residential,2007,15.1,15.4,15.9,10.5,10.5,14.2,13.5,12.8
Residential,2008,14.8,14.9,15.9,11.1,11.2,15.2,14.7,13.6
Residential,2009,15.2,15.3,18.2,11.1,12.1,15.1,14.8,13.6
Residential,2010,15.6,14.2,17.3,12.0,12.5,15.3,15.0,13.8
Residential,2011,15.2,14.4,17.7,12.4,12.7,15.7,15.4,12.6
Residential,2012,15.7,14.7,18.1,12.4,12.9,16.0,15.7,12.8
Commercial,1977,5.1,4.0,5.8,2.3,4.0,3.6,3.6,4.0
Commercial,1978,4.6,4.7,6.2,2.5,4.4,3.7,3.6,4.7
Commercial,1979,5.1,5.0,7.4,1.9,5.1,3.5,3.4,5.0
Commercial,1980,5.4,6.6,7.1,2.5,5.6,3.9,3.9,5.1
Commercial,1981,6.9,6.9,6.8,2.8,6.2,3.7,3.7,5.1
Commercial,1982,6.9,7.8,8.7,2.5,6.2,4.8,4.7,6.5
Commercial,1983,7.0,7.9,8.5,3.6,5.9,4.7,4.6,6.4
Commercial,1984,8.5,6.2,8.9,3.7,6.1,4.9,4.8,6.7
Commercial,1985,9.5,8.4,8.9,4.4,6.5,4.9,4.8,6.7
Commercial,1986,9.7,8.7,8.6,5.1,6.8,4.8,4.7,6.5
Commercial,1987,8.6,8.7,9.3,6.2,7.1,5.1,5.0,7.0
Commercial,1988,8.7,9.0,10.3,7.0,7.6,5.7,5.6,7.7
Commercial,1989,9.4,9.6,10.7,7.1,8.1,5.9,5.8,8.0
Commercial,1990,9.7,9.9,8.4,8.7,8.6,8.8,9.0,6.8
Commercial,1991,10.6,10.6,9.0,8.8,8.2,8.9,9.2,6.9
